instance,run,n,alg,test,initial_f,best_f,delta,delta_rel,time,valid_perm
Cebe.lop.n30.4,3,30,GA,ga_tournament_swap,82137,92418,10281,0.12516892508857153,2.405883,True
Cebe.lop.n30.4,1,30,GA,ga_best,81231,97539,16308,0.20076079329320087,2.979816,True
Cebe.lop.n30.4,2,30,GA,ga_best,83867,97180,13313,0.15873943267316107,2.913472,True
Cebe.lop.n30.4,3,30,GA,ga_best,82137,97345,15208,0.1851540718555584,3.127999,True
Cebe.lop.n30.5,1,30,ILS,ils_suave,86171,111759,25588,0.296944447668009,2.465801,True
Cebe.lop.n30.5,2,30,ILS,ils_suave,86318,112653,26335,0.30509279640399456,2.575932,True
Cebe.lop.n30.5,3,30,ILS,ils_suave,52830,112930,60100,1.1376112057543062,2.445617,True
Cebe.lop.n30.5,1,30,ILS,ils_fuerte,86171,112371,26200,0.30404660500632463,2.598384,True
Cebe.lop.n30.5,2,30,ILS,ils_fuerte,86318,112653,26335,0.30509279640399456,2.455625,True
Cebe.lop.n30.5,3,30,ILS,ils_fuerte,52830,112930,60100,1.1376112057543062,2.600336,True
Cebe.lop.n30.5,1,30,ILS,ils_fuerte_grande,86171,112291,26120,0.30311821842615266,2.453133,True
Cebe.lop.n30.5,2,30,ILS,ils_fuerte_grande,86318,112653,26335,0.30509279640399456,2.604598,True
Cebe.lop.n30.5,3,30,ILS,ils_fuerte_grande,52830,112930,60100,1.1376112057543062,2.463849,True
Cebe.lop.n30.5,1,30,TABU,tabu_basico,86171,111043,24872,0.2886353877754697,2.329141,True
Cebe.lop.n30.5,2,30,TABU,tabu_basico,86318,112653,26335,0.30509279640399456,2.181823,True
Cebe.lop.n30.5,3,30,TABU,tabu_basico,52830,112930,60100,1.1376112057543062,2.211973,True
Cebe.lop.n30.5,1,30,TABU,tabu_memorias,86171,111043,24872,0.2886353877754697,2.325722,True
Cebe.lop.n30.5,2,30,TABU,tabu_memorias,86318,112653,26335,0.30509279640399456,2.201979,True
Cebe.lop.n30.5,3,30,TABU,tabu_memorias,52830,112933,60103,1.1376679916713988,2.325186,True
Cebe.lop.n30.5,1,30,TABU,tabu_memorias_grande,86171,111043,24872,0.2886353877754697,2.198007,True
Cebe.lop.n30.5,2,30,TABU,tabu_memorias_grande,86318,112653,26335,0.30509279640399456,2.343965,True
Cebe.lop.n30.5,3,30,TABU,tabu_memorias_grande,52830,112933,60103,1.1376679916713988,2.248830,True
Cebe.lop.n30.5,1,30,GA,ga_tournament_insert,94943,112438,17495,0.1842684558103283,3.438885,True
Cebe.lop.n30.5,2,30,GA,ga_tournament_insert,93866,112887,19021,0.20263993352225512,3.246481,True
Cebe.lop.n30.5,3,30,GA,ga_tournament_insert,97869,112345,14476,0.1479120048227733,3.375477,True
Cebe.lop.n30.5,1,30,GA,ga_tournament_swap,94943,104788,9845,0.10369379522450313,2.413732,True
Cebe.lop.n30.5,2,30,GA,ga_tournament_swap,93866,104049,10183,0.10848443525877315,2.529964,True
Cebe.lop.n30.5,3,30,GA,ga_tournament_swap,97869,105751,7882,0.08053622699731273,2.409976,True
Cebe.lop.n30.5,1,30,GA,ga_best,94943,112008,17065,0.17973942260092898,2.983241,True
Cebe.lop.n30.5,2,30,GA,ga_best,93866,111710,17844,0.190100781965781,2.868574,True
Cebe.lop.n30.5,3,30,GA,ga_best,97869,112447,14578,0.1489542143068796,3.321742,True
N-r100a2,1,100,ILS,ils_suave,88380,144969,56589,0.6402919212491514,81.664574,True
N-r100a2,2,100,ILS,ils_suave,75336,144457,69121,0.9175029202506106,81.764779,True
N-r100a2,3,100,ILS,ils_suave,82984,144353,61369,0.7395281018027572,82.480233,True
N-r100a2,1,100,ILS,ils_fuerte,88380,144969,56589,0.6402919212491514,82.179505,True
N-r100a2,2,100,ILS,ils_fuerte,75336,144457,69121,0.9175029202506106,80.709388,True
N-r100a2,3,100,ILS,ils_fuerte,82984,144353,61369,0.7395281018027572,80.942656,True
N-r100a2,1,100,ILS,ils_fuerte_grande,88380,144969,56589,0.6402919212491514,80.854161,True
N-r100a2,2,100,ILS,ils_fuerte_grande,75336,144457,69121,0.9175029202506106,81.778418,True
N-r100a2,3,100,ILS,ils_fuerte_grande,82984,144353,61369,0.7395281018027572,81.013660,True
N-r100a2,1,100,TABU,tabu_basico,88380,144969,56589,0.6402919212491514,67.379651,True
N-r100a2,2,100,TABU,tabu_basico,75336,144457,69121,0.9175029202506106,67.454772,True
N-r100a2,3,100,TABU,tabu_basico,82984,144353,61369,0.7395281018027572,67.645152,True
N-r100a2,1,100,TABU,tabu_memorias,88380,144969,56589,0.6402919212491514,67.361924,True
N-r100a2,2,100,TABU,tabu_memorias,75336,144457,69121,0.9175029202506106,67.517072,True
N-r100a2,3,100,TABU,tabu_memorias,82984,144353,61369,0.7395281018027572,67.623941,True
N-r100a2,1,100,TABU,tabu_memorias_grande,88380,144969,56589,0.6402919212491514,67.928113,True
N-r100a2,2,100,TABU,tabu_memorias_grande,75336,144457,69121,0.9175029202506106,67.464343,True
N-r100a2,3,100,TABU,tabu_memorias_grande,82984,144353,61369,0.7395281018027572,67.560828,True
N-r100a2,1,100,GA,ga_tournament_insert,96148,141310,45162,0.4697133585722012,10.577442,True
N-r100a2,2,100,GA,ga_tournament_insert,92907,140785,47878,0.5153325368379131,10.400879,True
N-r100a2,3,100,GA,ga_tournament_insert,95181,139728,44547,0.4680240804362215,10.469872,True
N-r100a2,1,100,GA,ga_tournament_swap,96148,126214,30066,0.31270541248907935,8.147435,True
N-r100a2,2,100,GA,ga_tournament_swap,92907,122534,29627,0.31888878125437264,8.221295,True
N-r100a2,3,100,GA,ga_tournament_swap,95181,122236,27055,0.2842479066200187,8.132584,True
